Dataset,Distribution Type,Category/Color,Count
Train,Image Color,#130017,5
Train,Image Color,#13001a,5
Train,Image Color,#130200,1
Train,Image Color,#14000e,22
Train,Image Color,#140010,22
Train,Image Color,#140012,27
Train,Image Color,#140013,28
Train,Image Color,#140014,16
Train,Image Color,#140015,26
Train,Image Color,#140017,26
Train,Image Color,#140019,20
Train,Image Color,#14001c,6
Train,Image Color,#15000e,12
Train,Image Color,#150010,20
Train,Image Color,#150011,15
Train,Image Color,#150012,28
Train,Image Color,#150013,28
Train,Image Color,#150014,19
Train,Image Color,#150015,29
Train,Image Color,#150016,22
Train,Image Color,#150017,26
Train,Image Color,#150018,19
Train,Image Color,#150019,25
Train,Image Color,#15001c,12
Train,Image Color,#150300,1
Train,Image Color,#16000f,4
Train,Image Color,#160010,20
Train,Image Color,#160012,24
Train,Image Color,#160013,26
Train,Image Color,#160014,25
Train,Image Color,#160015,26
Train,Image Color,#160016,20
Train,Image Color,#160017,28
Train,Image Color,#160018,20
Train,Image Color,#160019,27
Train,Image Color,#16001a,12
Train,Image Color,#16001b,23
Train,Image Color,#16001c,12
Train,Image Color,#16001d,3
Train,Image Color,#17000f,5
Train,Image Color,#170014,20
Train,Image Color,#170015,18
Train,Image Color,#170016,19
Train,Image Color,#170017,16
Train,Image Color,#170018,21
Train,Image Color,#170019,22
Train,Image Color,#17001a,21
Train,Image Color,#17001e,2
Train,Image Color,#180012,19
Train,Image Color,#180013,27
Train,Image Color,#180015,27
Train,Image Color,#180017,28
Train,Image Color,#180019,28
Train,Image Color,#18001b,23
Train,Image Color,#18001c,22
Train,Image Color,#180020,4
Train,Image Color,#190013,22
Train,Image Color,#190015,23
Train,Image Color,#190016,24
Train,Image Color,#190017,28
Train,Image Color,#190019,23
Train,Image Color,#19001a,18
Train,Image Color,#19001b,19
Train,Image Color,#19001c,26
Train,Image Color,#190200,3
Train,Image Color,#1a0000,21
Train,Image Color,#1a0014,9
Train,Image Color,#1a0016,16
Train,Image Color,#1a0018,18
Train,Image Color,#1a0019,14
Train,Image Color,#1a001a,17
Train,Image Color,#1a0020,4
Train,Image Color,#1b0015,18
Train,Image Color,#1b0017,19
Train,Image Color,#1b0018,7
Train,Image Color,#1b0019,23
Train,Image Color,#1b001a,7
Train,Image Color,#1b001b,21
Train,Image Color,#1b001e,19
Train,Image Color,#1b0020,12
Train,Image Color,#1b0022,7
Train,Image Color,#1c0000,24
Train,Image Color,#1c0014,5
Train,Image Color,#1c0017,10
Train,Image Color,#1c0019,18
Train,Image Color,#1c001a,12
Train,Image Color,#1c001b,19
Train,Image Color,#1c001c,22
Train,Image Color,#1c001d,13
Train,Image Color,#1c001e,17
Train,Image Color,#1c0022,11
Train,Image Color,#1c0025,2
Train,Image Color,#1d0000,25
Train,Image Color,#1d0002,1
Train,Image Color,#1d0015,5
Train,Image Color,#1d0017,5
Train,Image Color,#1d0019,13
Train,Image Color,#1d001b,16
Train,Image Color,#1d001c,23
Train,Image Color,#1d001d,12
Train,Image Color,#1d001e,24
Train,Image Color,#1d001f,9
Train,Image Color,#1d0020,22
Train,Image Color,#1d0022,15
Train,Image Color,#1e001d,9
Train,Image Color,#1e001f,12
Train,Image Color,#1e0023,6
Train,Image Color,#1f0019,12
Train,Image Color,#1f001c,19
Train,Image Color,#1f001d,6
Train,Image Color,#1f001e,24
Train,Image Color,#1f001f,4
Train,Image Color,#1f0020,27
Train,Image Color,#1f0021,1
Train,Image Color,#1f0022,23
Train,Image Color,#1f0023,17
Train,Image Color,#1f0024,6
Train,Image Color,#1f0028,1
Train,Image Color,#200000,27
Train,Image Color,#20001c,16
Train,Image Color,#20001d,12
Train,Image Color,#20001e,23
Train,Image Color,#20001f,15
Train,Image Color,#200020,27
Train,Image Color,#200021,18
Train,Image Color,#200022,23
Train,Image Color,#200023,22
Train,Image Color,#200025,13
Train,Image Color,#200027,9
Train,Image Color,#200029,2
Train,Image Color,#200200,1
Train,Image Color,#21001d,7
Train,Image Color,#210020,13
Train,Image Color,#210021,16
Train,Image Color,#210022,9
Train,Image Color,#210024,13
Train,Image Color,#210026,6
Train,Image Color,#220007,1
Train,Image Color,#22001c,13
Train,Image Color,#22001e,21
Train,Image Color,#220020,25
Train,Image Color,#220022,24
Train,Image Color,#220023,24
Train,Image Color,#220025,19
Train,Image Color,#220027,16
Train,Image Color,#220029,8
Train,Image Color,#22002a,1
Train,Image Color,#22002b,1
Train,Image Color,#23001b,6
Train,Image Color,#23001f,14
Train,Image Color,#230020,25
Train,Image Color,#230021,14
Train,Image Color,#230022,26
Train,Image Color,#230023,25
Train,Image Color,#230024,11
Train,Image Color,#230025,27
Train,Image Color,#230026,10
Train,Image Color,#230027,22
Train,Image Color,#230028,5
Train,Image Color,#230029,19
Train,Image Color,#240000,21
Train,Image Color,#240002,2
Train,Image Color,#24001c,5
Train,Image Color,#24001e,16
Train,Image Color,#24001f,7
Train,Image Color,#240020,22
Train,Image Color,#240021,12
Train,Image Color,#240022,24
Train,Image Color,#240023,27
Train,Image Color,#240024,21
Train,Image Color,#240025,30
Train,Image Color,#240027,28
Train,Image Color,#240028,11
Train,Image Color,#240029,22
